Exp,1/Lo,alpha,ust**2+0.001wst**2,beta
1,0.4747947734361827,2.0279940767289033,0.0012648900513541985,0.010744039340386381
2,0.15318416513596603,3.1493640248384978,0.001276700040477771,0.022796073520520387
3,0.059631315547027,3.9128873668489894,0.0012962278273712328,0.04329006891791165
4,0.019962168307360157,4.812520260198595,0.0013411580453247297,0.08910536594029449
5,0.003224017284806928,3.0371047399381674,1.6024589923655103e-05,0.01723104261529031
6,0.0005471014941659348,4.98236869383373,5.228051996819873e-05,0.05483124412958619
7,0.0001703338517969004,5.372762506945428,0.00011381107373816809,0.12131636353460744
8,8.231072493594149e-05,6.179804201772758,0.00018481939649230854,0.1952095737496631
9,0.6963829564041574,1.5514467251996718,0.0031533765194982958,0.02493061388081872
10,0.11008541804456265,3.0106760803695907,0.0032029382088439697,0.07521521730542875
11,0.03694056896919137,4.06695229126928,0.003277939348861256,0.1554352675452929
12,0.01664267591683176,5.202321396959051,0.0033796967619968603,0.2570446662921685
13,1.2584422122081784,1.291196328569692,0.0049947620006902844,0.029548795857611488
14,0.21592408398737556,2.502726707806224,0.005043701865074259,0.08071616887085553
15,0.07052083257985543,3.7624577914268924,0.005122191059897781,0.15902211432908253
16,0.030816799635846603,5.07086374034387,0.00523215097530602,0.27627699088664176
17,1.5748695428952528,1.2924750253291764,0.0065271861498162505,0.03449133931980216
18,0.2902504878315267,2.463362669167491,0.006578725645505109,0.08870766983518323
19,0.10278293144489477,3.2405854438258865,0.006654789192224143,0.1657314727902699
20,0.046100364736355315,4.479018738354119,0.006762404326313218,0.2750961434153906
21,0.250476889459368,2.256489411651329,0.0012704670616378035,0.01586938550421829
22,0.06099074851037201,3.1843272266498364,0.001295603956988837,0.041977521145585374
23,0.007101285639909856,4.0631276127733305,0.001427205242070754,0.17324121378221125
24,0.001089130095568472,4.320464640937364,3.303685213914895e-05,0.03502549637222796
25,0.0001591848668244232,5.257849862345881,0.00011906496261137067,0.12664868863579903
26,4.090214992823481e-05,4.78342127149287,0.00029459208533357266,0.31661614106127955
27,0.26043172532771164,1.76197943189033,0.0031723480587359546,0.04519134720596123
28,0.03339865921105474,4.01595782935453,0.00328802038475731,0.16564258074479032
29,0.00860462630571437,5.853844879944034,0.003516018878117209,0.39921445943612494
30,0.40852009637639886,1.5180016995783967,0.0050191845953873925,0.056498118749908434
31,0.06166951694436338,3.2103328838013185,0.00513615446107432,0.1790178817528874
32,0.015534514833132241,5.438172207078017,0.005382204914538837,0.4278270822651584
33,0.5640139447081579,1.568256594928264,0.006551450431214588,0.06076793586855485
34,0.09773838190511906,1.568256594928264,0.0066599851662124294,0.06076793586855485
35,0.02310071856332621,4.683460967348281,0.006914470473150845,0.4345868608984945
