"dp,Exp5&7","vd,u*=0.13m/s,Exp5","vd,u*=0.34m/s,Exp7","dp,Exp25","vd,u*=0.35m/s,Exp25","dp,zs14","vd,zs14,u*=0.14m/s","vd,zs14,u*=0.34m/s","vd,Berg18,u*=0.3-0.4m/s"
1.46,0.00039125417242757976,0.002839555498212576,0.04,0.0038188340794747646,0.986853926803505,0.000416952005580359,0.000545481148552182,0.00146319693359736
2.8,0.00121048535220325,0.007351350039243698,0.1,0.0016401733448667632,2.21221629107045,0.00100005147587003,0.00701538530205675,0.00271465860743686
4.8,0.00323255592957139,0.01240738108754158,0.2,0.0012441721744505198,4.01280703194278,0.00299933195640163,0.013147058402661,0.00271465860743686
9.0,0.008143073879182339,0.017147989943623543,0.5,0.0017153428913394134,7.37591820459208,0.00672387667919813,0.0196972516519238,0.00453211734112825
16.0,0.020600857213139534,0.02599233202636242,1.0,0.0028612129254258086,12.3581659558241,0.0147371067109936,0.0235838654847769,0.00420308256603357
,,,1.46,0.0039552106035266035,17.4332882219999,0.024134663964321,0.0269937749401265,0.0059448479721321106
,,,2.8,0.007771785164842619,22.1221629107045,0.0361312486917587,0.0578225059396094,0.00893100152792865
,,,4.8,0.015286091816891782,26.6248614403985,0.0505715838656246,0.0472884948433668,0.0136209130098311
,,,9.0,0.023127569575666525,39.6005437697745,0.118514603010154,0.126742693022506,0.01425102670303
,,,16.0,0.03203273918482296,63.7672519032327,0.290504716908096,0.28407218721714,0.0136209130098311
,,,,,88.7719708898586,0.556470763435645,0.544149054011969,0.0312084130815623
,,,,,,,,0.046183245742406405
