"TI,Exp1-20","RE,orig.,Exp1-20,1.46um","RE,orig.,Exp1-20,16um","RE,corr.,Exp1-20,1.46um","RE,corr.,Exp1-20,16um","TI,Exp21-35","RE,orig.,Exp21-35,0.04um","RE,orig.,Exp21-35,0.5um","RE,orig.,Exp21-35,16um","RE,corr.,Exp21-35,0.04um","RE,corr.,Exp21-35,0.5um","RE,corr.,Exp21-35,16um"
0.554,0.059281143716962505,0.0070265990497970525,0.0009389733132222386,0.0049491637926144215,0.33437782,0.06895085440982457,0.08770415557360368,0.024601578269905777,0.0033731964631576097,0.005819406268221804,0.030661288127942027
0.5,0.050180297843421394,0.012507211115409329,0.0017281215206656618,0.016551059891617204,0.66946103,0.247832618908818,0.33051932502907744,0.03223251385308602,0.08923794616163883,0.13964834227623665,0.04019714974096628
0.75,0.12226867176378987,0.022375743692105023,0.014716545100535628,0.033644369761792935,0.73181088,0.3322607559266044,0.4154142672604599,0.04292449921551989,0.07034617020657277,0.10901046592627325,0.05035805487985701
0.955,0.21325102294237433,0.02135363197363695,0.02022488030692579,0.04293242435741669,0.74233357,0.3883891002330734,0.4806264621459366,0.04518899007508873,0.0035001949247264216,0.010263310295484558,0.05577595503952154
0.96,0.24752657437004966,0.023905822035726467,0.023400000374367815,0.04966709054233183,,,,,,,
0.327,0.018186289542323066,0.0029904579930160945,0.024416213391780024,0.005209356632500882,,,,,,,
0.25,0.014051631389672078,0.043826934950085154,0.010031908821854129,0.04410540537726507,,,,,,,
0.4,0.049796247333744846,0.05566607633237886,0.023911058899495168,0.05799555933004586,,,,,,,
0.451,0.0695501938949357,0.05969696465323124,0.028783757883492578,0.06298174950952196,,,,,,,
0.474,0.09315415422899366,0.06089876034930167,0.030878266408943745,0.06786160358039053,,,,,,,
0.22,0.0112124660527142,0.02228298155734635,0.013364606840637004,0.022241656007319328,,,,,,,
0.202,5.4491257063131304e-05,0.05657492172008694,0.015632628007445946,0.05561284730234535,,,,,,,
0.269,0.002299560979003639,0.06339959726338017,0.03259207739116857,0.06321738475946106,,,,,,,
0.302,0.010446412182626763,0.06589998524977976,0.03514937909801477,0.06646200798469358,,,,,,,
0.342,0.020441715779090486,0.06834332902974043,0.038282988977545576,0.06938589761154584,,,,,,,
0.157,0.0018339347947962967,0.050775147450287675,0.017466051811461585,0.04911752450718654,,,,,,,
0.178,0.01602550179003502,0.05897129832565179,0.02584883095676223,0.057772129122225964,,,,,,,
0.219,0.020272755907032942,0.061631233189281924,0.03779835550684106,0.06103532498901146,,,,,,,
0.216,0.02000176136966411,0.06294388777651917,0.04119477673394658,0.06328029755364167,,,,,,,
0.246,0.019683335493525994,0.06562616184786632,0.04356021010326198,0.06546655613150458,,,,,,,
