"dp,Exp1-20","RE,orig.,H=-50,","RE,orig.,H=0,","RE,orig.,H=200","RE,orig.,H=400","RE,orig.,H=600","RE,corr.,H=-50,","RE,corr.,H=0,","RE,corr.,H=200","RE,corr.,H=400","RE,corr.,H=600","dp,Exp21-35","RE,orig.,H=-50,","RE,orig.,H=0,","RE,orig.,H=200","RE,orig.,H=400","RE,orig.,H=600","RE,corr.,H=-50,","RE,corr.,H=0,","RE,corr.,H=200","RE,corr.,H=400","RE,corr.,H=600"
1.46,0.059281143716962505,0.050180297843421394,0.12226867176378987,0.21325102294237433,0.24752657437004966,0.0009389733132222386,0.0017281215206656618,0.014716545100535628,0.02022488030692579,0.023400000374367815,0.04,0.204974580045552,0.06731641077542014,0.24769141842311465,0.33208865788134495,0.3880006659414014,0.051704558147492696,0.0015594164602028887,0.08903852431294304,0.07006445305304884,0.004379181679331079
2.8,0.05688358013254096,0.0364150519223342,0.09451978582910414,0.17362812968036181,0.19692969253936254,0.0005691264128468772,0.01608164953084209,0.042633395047251395,0.057978633418143764,0.06799307803720131,0.1,0.2950748407314912,0.07712487076620447,0.30273904830529774,0.3964564498615098,0.46619975492033194,0.04117167864972593,0.005047540415502703,0.13313139954357595,0.11156082641958497,0.015608383442459692
4.8,0.04268113869953597,0.015935787001464016,0.013232762279619689,0.030979396432485318,0.03400573549545771,0.01436099470166643,0.04949412667590709,0.09649740942800211,0.12094405963107932,0.13599623469483044,0.2,0.34084750737117986,0.0845631502158393,0.33434412153405757,0.42262454640135905,0.49463459958197475,0.08992064729429654,0.005216166488662585,0.15304026885835884,0.12331534014836658,0.017889490709616176
9.0,0.037316637433832636,0.06011018945759024,0.09201150401254264,0.08071443022094885,0.0825572508790247,0.02922460798822055,0.06804830385270064,0.11263103593416748,0.13337344467319825,0.14662138979329883,0.5,0.3073404159247194,0.08675516468641929,0.33029502603943184,0.4152559044122186,0.4802390735078767,0.06286605518592832,0.0047159120014373165,0.13932363457481034,0.10870760724560642,0.009358266537597073
16.0,0.0070265990497970525,0.012507211115409329,0.022375743692105023,0.02135363197363695,0.023905822035726467,0.0049491637926144215,0.016551059891617204,0.033644369761792935,0.04293242435741669,0.04966709054233183,1.0,0.22425641584530684,0.07587143250364697,0.29007644842933794,0.37456489980029223,0.43195642169185333,0.012529612739848903,0.0026676377556121103,0.10833381959167399,0.08300802993677375,0.0019119334816112832
,,,,,,,,,,,1.46,0.16356838816901947,0.0669811153431253,0.2601036227147291,0.34196517976509055,0.3943581964945088,0.024726703226707662,0.0009323709788620923,0.08860043546173701,0.06544524687248032,0.010007668950761816
,,,,,,,,,,,2.8,0.11363685267442498,0.052069044225400464,0.20491072118551124,0.270820352998579,0.30927968615604307,0.03458011374041552,0.004003528015178,0.05019076808121471,0.025104022504220915,0.03219675616075892
,,,,,,,,,,,4.8,0.09094462674444484,0.03406844604438431,0.1369104132501541,0.17135064254453863,0.19200774777511054,0.039300155709808965,0.017148018275292637,0.0018355747746445362,0.030356593566204695,0.06951374772956581
,,,,,,,,,,,9.0,0.06998495097476531,0.01326228284098331,0.017945307330135288,0.05189490570646753,0.059792440279411774,0.008861429611893974,0.04744262225272443,0.07038993583979263,0.08945128761538054,0.09541466659138835
,,,,,,,,,,,16.0,0.029233104947548653,0.024643283524850235,0.032239443444978914,0.0429481489352702,0.045237324062038634,0.015242279884302828,0.030700793857965827,0.0402141663442292,0.050404475432133646,0.05585608794895678
